"408","1","5"
"371","2","5"
"275","42","5"
"242","3","4"
"479","8","5"
"479","68","4"
"332","29","5"
"3783","69","5"
"493","1","5"
"408","52","5"
"242","76","5"
"3746","72","5"
"6269","52","3"
"1335","72","5"
"184","75","5"
"275","14","5"
"275","59","5"
"1187","71","5"
"1187","79","4"
"771","76","5"
"4438","8","5"
"3746","72","5"
"395","83","5"
"323","65","5"
"225","75","5"
"225","75","5"
"225","81","5"
"435","70","5"
"435","88","5"
"435","88","3"
"435","88","5"
"435","88","5"
"1210","92","4"
"11069","33","5"
"441","8","5"
"888","1","5"
"940","80","5"
"1215","80","2"
"1215","80","1"
"1215","80","2"
"1131","80","5"
"8142","40","4"
"10428","8","5"
"1475","29","4"
"10428","70","1"
"1187","92","5"
"1987","8","5"
"479","87","5"
"479","73","5"
"9574","75","5"
"1466","84","5"
"225","90","5"
"10578","37","4"
"331","29","5"
"11474","96","5"
"2958","1","5"
"10294","75","5"
"1099","83","5"
"329","59","5"
"7042","85","5"
"1312","6","3"
"780","37","5"
"408","1","5"
"3688","78","5"
"1196","87","5"
"7305","42","5"
"7004","42","5"
"1167","42","5"
"479","87","5"
"760","87","5"
"7650","69","5"
"1431","6","5"
"11297","69","5"
"11322","69","5"
"13699","100","5"
"13691","100","5"
"408","83","5"
"408","93","5"
"2248","90","5"
"1487","105","4"
"1351","79","5"
"490","40","5"
"275","57","5"
"2557","48","4"
"399","8","5"
"371","2","5"
"371","6","5"
"1197","69","5"
"1167","85","5"
"1196","87","5"
"8482","100","5"
"10783","100","5"
"2232","33","5"
"1382","44","5"
"11249","79","1"
"13957","6","5"
"7619","113","5"
"6269","39","4"
"14216","116","5"
"1568","59","5"
"852","71","5"
"852","67","5"
"3950","87","5"
"1839","72","5"
"14389","79","5"
"14389","79","5"
"2246","110","5"
"2968","109","5"
"1108","31","5"
"1278","20","5"
"1261","20","5"
"1131","20","5"
"1263","20","5"
"1278","20","5"
"1277","20","5"
"1389","109","5"
"9262","69","5"
"468","20","5"
"1189","20","5"
"407","91","5"
"420","25","5"
"420","79","5"
"420","21","5"
"420","71","5"
"420","71","5"
"420","32","5"
"9865","106","4"
"420","119","5"
"1230","3","5"
"7019","63","5"
"7591","63","5"
"1213","63","5"
"4877","101","5"
"395","122","5"
"1543","111","5"
"888","120","5"
"6101","1","5"
"1760","101","5"
"11066","49","5"
"4924","3","5"
"2898","120","5"
"834","109","5"
"1339","111","5"
"585","93","5"
"467","42","5"
"1351","97","5"
"4791","117","5"
"884","116","5"
"1190","116","5"
"12782","117","4"
"14311","46","4"
"1298","87","5"
"1298","87","5"
"4924","93","1"
"275","20","5"
"1409","85","5"
"1409","91","5"
"1834","113","5"
"3688","78","5"
"852","77","4"
"852","68","5"
"852","66","4"
"852","65","5"
"852","66","4"
"852","11","3"
"6952","69","5"
"13727","82","5"
"1335","4","5"
"503","4","5"
"12446","35","5"
"1195","35","5"
"1170","33","5"
"937","131","3"
"14823","35","5"
"1389","65","5"
"1108","104","5"
"2272","16","5"
"4105","8","4"
"1140","98","3"
"1387","126","4"
"941","93","5"
"941","93","5"
